video,mini-scene-id
12_01_23-DJI_0994,12_01_23-DJI_0994_2.0
12_01_23-DJI_0994,12_01_23-DJI_0994_1.0
12_01_23-DJI_0994,12_01_23-DJI_0994_3.0
12_01_23-DJI_0994,12_01_23-DJI_0994_4.0
12_01_23-DJI_0994,12_01_23-DJI_0994_5.0
12_01_23-DJI_0994,12_01_23-DJI_0994_6.0
12_01_23-DJI_0994,12_01_23-DJI_0994_8.0
12_01_23-DJI_0994,12_01_23-DJI_0994_10.0
12_01_23-DJI_0994,12_01_23-DJI_0994_11.0
12_01_23-DJI_0994,12_01_23-DJI_0994_12.0
12_01_23-DJI_0994,12_01_23-DJI_0994_13.0
12_01_23-DJI_0994,12_01_23-DJI_0994_14.0
12_01_23-DJI_0994,12_01_23-DJI_0994_15.0
12_01_23-DJI_0994,12_01_23-DJI_0994_16.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_2.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_5.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_3.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_1.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_4.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_7.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_12.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_18.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_20.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_23.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_24.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_30.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_34.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_35.0
16_01_23_session_2-DJI_0002,16_01_23_session_2-DJI_0002_38.0
13_01_23-DJI_0037,13_01_23-DJI_0037_2.0
13_01_23-DJI_0037,13_01_23-DJI_0037_5.0
13_01_23-DJI_0037,13_01_23-DJI_0037_7.0
13_01_23-DJI_0037,13_01_23-DJI_0037_8.0
13_01_23-DJI_0037,13_01_23-DJI_0037_13.0
13_01_23-DJI_0037,13_01_23-DJI_0037_15.0
13_01_23-DJI_0037,13_01_23-DJI_0037_19.0
13_01_23-DJI_0037,13_01_23-DJI_0037_20.0
13_01_23-DJI_0037,13_01_23-DJI_0037_21.0
13_01_23-DJI_0037,13_01_23-DJI_0037_22.0
13_01_23-DJI_0037,13_01_23-DJI_0037_23.0
13_01_23-DJI_0037,13_01_23-DJI_0037_26.0
13_01_23-DJI_0037,13_01_23-DJI_0037_27.0
13_01_23-DJI_0037,13_01_23-DJI_0037_29.0
13_01_23-DJI_0037,13_01_23-DJI_0037_30.0
13_01_23-DJI_0037,13_01_23-DJI_0037_31.0
13_01_23-DJI_0037,13_01_23-DJI_0037_32.0
13_01_23-DJI_0037,13_01_23-DJI_0037_34.0
11_01_23-DJI_0979,11_01_23-DJI_0979_1.0
11_01_23-DJI_0979,11_01_23-DJI_0979_2.0
11_01_23-DJI_0979,11_01_23-DJI_0979_3.0
11_01_23-DJI_0979,11_01_23-DJI_0979_4.0
11_01_23-DJI_0979,11_01_23-DJI_0979_5.0
11_01_23-DJI_0979,11_01_23-DJI_0979_6.0
11_01_23-DJI_0979,11_01_23-DJI_0979_7.0
11_01_23-DJI_0979,11_01_23-DJI_0979_9.0
11_01_23-DJI_0979,11_01_23-DJI_0979_8.0
11_01_23-DJI_0979,11_01_23-DJI_0979_10.0
11_01_23-DJI_0979,11_01_23-DJI_0979_11.0
11_01_23-DJI_0979,11_01_23-DJI_0979_12.0
11_01_23-DJI_0979,11_01_23-DJI_0979_14.0
11_01_23-DJI_0979,11_01_23-DJI_0979_16.0
13_01_23-DJI_0020,13_01_23-DJI_0020_2.0
13_01_23-DJI_0020,13_01_23-DJI_0020_3.0
13_01_23-DJI_0020,13_01_23-DJI_0020_1.0
13_01_23-DJI_0020,13_01_23-DJI_0020_4.0
13_01_23-DJI_0020,13_01_23-DJI_0020_5.0
13_01_23-DJI_0020,13_01_23-DJI_0020_7.0
13_01_23-DJI_0020,13_01_23-DJI_0020_12.0
13_01_23-DJI_0020,13_01_23-DJI_0020_13.0
13_01_23-DJI_0020,13_01_23-DJI_0020_18.0
13_01_23-DJI_0020,13_01_23-DJI_0020_20.0
13_01_23-DJI_0019,13_01_23-DJI_0019_2.0
13_01_23-DJI_0019,13_01_23-DJI_0019_3.0
13_01_23-DJI_0019,13_01_23-DJI_0019_1.0
13_01_23-DJI_0019,13_01_23-DJI_0019_4.0
13_01_23-DJI_0019,13_01_23-DJI_0019_5.0
13_01_23-DJI_0019,13_01_23-DJI_0019_9.0
13_01_23-DJI_0019,13_01_23-DJI_0019_25.0
13_01_23-DJI_0019,13_01_23-DJI_0019_29.0
13_01_23-DJI_0019,13_01_23-DJI_0019_30.0
13_01_23-DJI_0019,13_01_23-DJI_0019_31.0
13_01_23-DJI_0019,13_01_23-DJI_0019_32.0
13_01_23-DJI_0019,13_01_23-DJI_0019_35.0
13_01_23-DJI_0019,13_01_23-DJI_0019_36.0
13_01_23-DJI_0019,13_01_23-DJI_0019_37.0
13_01_23-DJI_0019,13_01_23-DJI_0019_38.0
13_01_23-DJI_0019,13_01_23-DJI_0019_39.0
13_01_23-DJI_0019,13_01_23-DJI_0019_40.0
13_01_23-DJI_0019,13_01_23-DJI_0019_41.0
13_01_23-DJI_0019,13_01_23-DJI_0019_42.0
13_01_23-DJI_0019,13_01_23-DJI_0019_43.0
13_01_23-DJI_0019,13_01_23-DJI_0019_45.0
13_01_23-DJI_0019,13_01_23-DJI_0019_47.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_2.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_5.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_3.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_1.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_4.0
17_01_2023_session_2-DJI_0013,17_01_2023_session_2-DJI_0013_6.0
13_01_23-DJI_0039,13_01_23-DJI_0039_88.0
13_01_23-DJI_0039,13_01_23-DJI_0039_89.0
13_01_23-DJI_0039,13_01_23-DJI_0039_93.0
13_01_23-DJI_0039,13_01_23-DJI_0039_94.0
13_01_23-DJI_0039,13_01_23-DJI_0039_95.0
13_01_23-DJI_0039,13_01_23-DJI_0039_96.0
12_01_23-DJI_0001,12_01_23-DJI_0001_2.0
12_01_23-DJI_0001,12_01_23-DJI_0001_3.0
12_01_23-DJI_0001,12_01_23-DJI_0001_1.0
12_01_23-DJI_0001,12_01_23-DJI_0001_5.0
12_01_23-DJI_0001,12_01_23-DJI_0001_6.0
12_01_23-DJI_0001,12_01_23-DJI_0001_8.0
12_01_23-DJI_0001,12_01_23-DJI_0001_9.0
12_01_23-DJI_0001,12_01_23-DJI_0001_10.0
12_01_23-DJI_0001,12_01_23-DJI_0001_13.0
12_01_23-DJI_0001,12_01_23-DJI_0001_14.0
12_01_23-DJI_0001,12_01_23-DJI_0001_15.0
12_01_23-DJI_0001,12_01_23-DJI_0001_16.0
12_01_23-DJI_0001,12_01_23-DJI_0001_17.0
12_01_23-DJI_0001,12_01_23-DJI_0001_18.0
12_01_23-DJI_0001,12_01_23-DJI_0001_19.0
12_01_23-DJI_0001,12_01_23-DJI_0001_20.0
12_01_23-DJI_0001,12_01_23-DJI_0001_21.0
12_01_23-DJI_0001,12_01_23-DJI_0001_22.0
12_01_23-DJI_0001,12_01_23-DJI_0001_23.0
12_01_23-DJI_0001,12_01_23-DJI_0001_27.0
12_01_23-DJI_0001,12_01_23-DJI_0001_28.0
12_01_23-DJI_0001,12_01_23-DJI_0001_29.0
12_01_23-DJI_0006,12_01_23-DJI_0006_11.0
12_01_23-DJI_0006,12_01_23-DJI_0006_12.0
12_01_23-DJI_0006,12_01_23-DJI_0006_13.0
12_01_23-DJI_0006,12_01_23-DJI_0006_14.0
13_01_23-DJI_0041,13_01_23-DJI_0041_2.0
13_01_23-DJI_0041,13_01_23-DJI_0041_5.0
13_01_23-DJI_0041,13_01_23-DJI_0041_3.0
13_01_23-DJI_0041,13_01_23-DJI_0041_1.0
13_01_23-DJI_0041,13_01_23-DJI_0041_6.0
13_01_23-DJI_0041,13_01_23-DJI_0041_4.0
13_01_23-DJI_0041,13_01_23-DJI_0041_9.0
13_01_23-DJI_0041,13_01_23-DJI_0041_20.0
13_01_23-DJI_0041,13_01_23-DJI_0041_23.0
13_01_23-DJI_0041,13_01_23-DJI_0041_22.0
13_01_23-DJI_0041,13_01_23-DJI_0041_25.0
13_01_23-DJI_0041,13_01_23-DJI_0041_24.0
13_01_23-DJI_0041,13_01_23-DJI_0041_30.0
